; This file contains additional "kanji" with their readings,
; and also additional readings for any kanji.
; 
; It is mostly used to cheat a bit with characters that are
; not kanji but that we want read in a certain way.

Ａ|エー
Ｂ|ビー
Ｃ|シー
Ｄ|ディー
Ｅ|イー
Ｆ|エフ
Ｇ|ジー
Ｈ|エッチ,エイチ
Ｉ|アイ
Ｊ|ジェー
Ｋ|ケー,ケイ
Ｌ|エル
Ｍ|エム
Ｎ|エヌ
Ｏ|オー
Ｐ|ピー
Ｑ|キュー
Ｒ|アール
Ｓ|エス
Ｔ|ティー
Ｕ|ユー
Ｖ|ブイ
Ｗ|ダブリュー,ダブル
Ｘ|エックス
Ｙ|ワイ
Ｚ|ゼット
１|いち,いつ,ひと,ひと.つ
２|に,じ,ふた,ふた.つ,ふたたび
３|さん,ぞう,み,み.つ,みっ.つ
４|し,よ,よ.つ,よっ.つ,よん
５|ご,いつ,いつ.つ
６|ろく,りく,む,む.つ,むっ.つ,むい
７|しち,なな,なな.つ,なの
８|はち,や,や.つ,やっ.つ,よう
９|きゅう,く,ここの,ここの.つ
β|ベータ

; Added readings:

母|かあ
蕎|そ
麦|ば
磨|と.ぐ
文|も
椿|つばい
小|ささ
巡|まわ
浮|うわ
最|も
徒|むだ
蜜|み
塊|ほど
縮|ちり
腕|かい
魚|な
呆|ほ
葛|かずら
撓|た
歩|あし
腔|くう
図|ずう
凛|り
父|じ
